time_s,altitude_m,inertial_speed_m_s,relative_speed_m_s,flight_path_angle_deg,pitch_angle_deg,mass_kg,dynamic_pressure_Pa,mach_number,drag_force_N,thrust_force_N,axial_acceleration_g,density_kg_m3,temperature_K,stage_name
252.5,256218.46993503626,3950.17047004344,3525.606600190692,19.928728929358797,2.0,195758.92529109202,2.8805159768632724e-05,9.021880861072091,0.0006783615125513006,5590000.0,2.9118537616503097,4.634816911988015e-12,380.0,S2_upper_stage
256.5,261560.65837960877,4048.624863069317,3621.1672360391576,19.100287279298065,2.0,189052.79160809598,2.1871130299791798e-05,9.266416559293928,0.0005150651185600968,5590000.0,3.0151438556050887,3.3358311444879125e-12,380.0,S2_upper_stage
260.5,266817.9336036341,4152.069737779565,3721.921191319681,18.303661025755687,2.0,182346.65792509995,1.6725325152651562e-05,9.524241746248565,0.00039388140734494424,5590000.0,3.1260313158502586,2.4147391262172865e-12,380.0,S2_upper_stage
264.5,271993.5360940071,4260.779009863084,3828.1300658604277,17.538535083625817,2.0,175640.52424210391,1.2878842648699091e-05,9.796025845031266,0.0003032967443768636,5590000.0,3.24538636788634,1.7576543064978524e-12,380.0,S2_upper_stage
268.5,277090.9076609723,4375.0635977875845,3940.092719642043,16.804537885303592,2.0,168934.39055910788,9.983308199563886e-06,10.082533625919968,0.00023510690809972954,5590000.0,3.3742174174490827,1.2861499064239225e-12,380.0,S2_upper_stage
272.5,282113.71232884005,4495.277367017414,4058.151288904391,16.101249033591802,2.0,162228.25687611185,7.788677759134115e-06,10.384640601342559,0.0001834233612276084,5590000.0,3.513699610735901,9.458826612702875e-13,380.0,S2_upper_stage
276.5,287065.86021792796,4621.824295219444,4182.69840714398,15.428206217962687,2.0,155522.1231931158,6.114212078511201e-06,10.703351504109378,0.00014398969444893878,5590000.0,3.6652107837556263,6.989681592635884e-13,380.0,S2_upper_stage
280.5,291951.53499416634,4755.1671861464765,4314.185960240649,14.784911326788668,2.0,148815.98951011978,4.8283656137520245e-06,11.039822691418784,0.00011370801020386018,5590000.0,3.8303771316475665,5.188387707162297e-13,380.0,S2_upper_stage
284.5,296775.22560490016,4895.838365027771,4453.135810087725,14.170835685511735,2.0,142109.85582712374,3.8347531507755575e-06,11.39538958618134,9.030843670076438e-05,5590000.0,4.011131808752817,3.867546358079905e-13,380.0,S2_upper_stage
288.5,301541.763204976,5044.4529340010395,4600.153066730119,13.585424338467135,2.0,135403.7221441277,3.062289470988235e-06,11.77160063986997,7.211691704177293e-05,5590000.0,4.209790942383109,2.894220872865901e-13,380.0,S2_upper_stage
292.5,306256.36442234647,5201.725370925047,4755.942693686439,13.028099267220911,2.0,128697.58846113167,2.4582142005400236e-06,12.170259824849591,5.789094442271756e-05,5590000.0,4.4291534119997324,2.1735843219497668e-13,380.0,S2_upper_stage
296.5,310924.6824401887,5368.490547253297,4921.330523286639,12.498261396111129,2.0,121991.45477813564,1.9831249951738343e-06,12.5934804117533,4.67025936363438e-05,5590000.0,4.672633538853934,1.6376270993890456e-13,380.0,S2_upper_stage
300.5,315552.8678173106,5545.730665014121,5097.2901829832745,11.99529116865453,2.0,115285.3210951396,1.6074179885073745e-06,13.043753872794577,3.785469362934867e-05,5590000.0,4.944440086872723,1.2373145029813295e-13,380.0,S2_upper_stage
304.5,320147.6415809877,5734.61024043776,5284.9780607906,11.518547374317182,2.0,108579.18741214357,1.3087207317190143e-06,13.5240393568737,3.082037323198279e-05,5590000.0,5.24982159691285,9.371100604200636e-14,380.0,S2_upper_stage
308.5,324716.38398425747,5936.522208768914,5485.779384622147,11.067363743496777,2.0,101873.05372914753,1.0700295488954233e-06,14.037881604688812,2.5199195876487214e-05,5590000.0,5.595408620690046,7.111301474508627e-14,380.0,S2_upper_stage
312.5,329267.2435439043,6153.149686808139,5701.369951797846,10.641042574966077,2.0,95166.9200461515,8.783499594664855e-07,14.589568911980814,2.0685141545435735e-05,5590000.0,5.98970065203454,5.4042961041495295e-14,380.0,S2_upper_stage
316.5,333809.27276001684,6386.550244913894,5933.8003594771835,10.238844254587207,2.0,88460.78636315546,7.236985699581919e-07,15.184348671713503,1.7043101322515417e-05,5590000.0,6.443774541103807,4.1107574166289893e-14,380.0,S2_upper_stage
320.5,338352.5995814428,6639.273313022881,6185.613358564543,9.859970859565653,2.0,81754.65268015943,5.983662672836533e-07,15.828727677843267,1.4091525594530034e-05,5590000.0,6.972341565479614,3.1277465769880517e-14,380.0,S2_upper_stage
324.5,342908.64776575286,6914.527696931404,6460.011303700702,9.50354091991217,2.0,75048.5189971634,4.963714609865031e-07,16.530900622892645,1.1689547906232148e-05,5590000.0,7.5953712434353955,2.378867447644562e-14,380.0,S2_upper_stage
328.5,347490.42574169766,7216.427281394049,6761.101769600312,9.16855044380617,2.0,68342.38531416736,4.1305244752485856e-07,17.301378619956765,9.727385139210419e-06,5590000.0,8.340671172557167,1.8071751638062715e-14,380.0,S2_upper_stage
330.5,349795.55449846573,7378.989882898843,6923.275595437012,9.008733366879525,2.0,65000.00000000078,3.772237649758428e-07,17.716374704716713,8.883619665181099e-06,5590000.0,8.769559431596141,1.5740038891094086e-14,380.0,S2_upper_stage
