time_s,x_km,y_km,z_km,vx_m_s,vy_m_s,vz_m_s,altitude_km,speed_m_s,inertial_speed_m_s,flight_path_angle_deg,pitch_deg,mass_t,dynamic_pressure_kpa,stage
140.0,-2236.797036042437,5621.454716002375,2155.7764286112542,-1219.576546591235,550.2378304193026,338.7089666565943,51.7241973067373,1112.3227156270923,1380.1638986415787,47.6507382694408,64.59847106673433,950.6064809819209,0.5855228535015563,booster_core_cluster
145.0,-2243.146924305531,5624.340779225397,2157.5476837171227,-1304.5353069695445,595.4222692539353,364.815822382761,57.05797518910374,1208.3949773122158,1479.6724739328092,47.94481456756606,63.22025480114405,906.6918171869535,0.3676691531163304,booster_core_cluster
150.0,-2249.943880414177,5627.457922974716,2159.454174786734,-1397.0112132070094,642.3341584021707,392.5054115043366,62.79922540857363,1311.7470385209258,1586.913355837846,48.15187041228232,61.821464730698,862.7771533919862,0.21551744419684715,booster_core_cluster
155.0,-2257.227684297948,5630.814975669494,2161.5041841867073,-1497.7498223620353,691.0384881634817,421.90307108211186,68.97317131380271,1423.0812310034974,1702.583602616123,48.278276347495094,60.40254508041267,818.8624895970188,0.11376021444878276,booster_core_cluster
160.0,-2265.0421852450045,5634.421119663171,2163.7066793123195,-1607.613755320136,741.6101973894913,453.1541429892231,75.60717344764154,1543.2114585157867,1827.5000269425136,48.32979893145202,58.96391538019374,774.9478258020515,0.052281605410762294,booster_core_cluster
161.0,-2266.1414839538984,5634.928084769602,2164.016531540185,-1623.293445974404,748.616484261726,457.5472404776951,76.54056168716214,1568.3740821489314,1845.2256581569084,48.33094447168371,58.67385954384531,769.0000000000027,0.043995899868453474,booster_core_cluster
165.67720270270297,-2274.305316918089,5638.6130584382445,2166.291209168912,-1639.2235973258917,729.1841090115769,453.1935693077349,83.396912204477,1585.6512755132042,1850.4453188697387,47.6119787645547,57.30704386990886,502.7017528021979,0.018535274830859427,second_stage
170.67720270270297,-2282.5519950733324,5642.1994079964525,2168.5440861081775,-1656.2197685383424,709.2584023818002,448.8274587307576,90.19503058091551,1586.4737167186431,1856.7599443000418,46.87073549501972,55.82762749525015,496.4035056043932,0.0027004755609639506,second_stage
175.67720270270297,-2290.886874918046,5645.684532554118,2170.775062391983,-1674.2904475378186,688.794340480326,444.43619390494797,96.93482390596532,1588.2790667268853,1864.1914270393029,46.10736153410276,54.32967886438537,490.10525840658846,0.0,second_stage
180.67720270270297,-2299.3153501611723,5649.065601054502,2172.9839723040195,-1693.4428845370087,667.7455696618587,440.00651607868366,103.61601860637032,1591.0974647371756,1872.7623135848728,45.32207171530277,52.81353568849847,483.8070112087837,0.0,second_stage
185.67720270270297,-2307.842852726764,5652.339550546895,2175.170584210112,-1713.6846201628703,646.0654312466787,435.5251583835905,110.23816087417397,1594.9630065873653,1882.497724412906,44.51516081578339,51.27951974887565,477.508764010979,0.0,second_stage
190.67720270270297,-2316.474848326645,5655.503080493737,2177.3345983921577,-1735.0218808739728,623.7058331014622,430.97826907209355,116.80061112852302,1599.9115067549878,1893.4233973859689,43.68698965987358,49.72793808318393,471.21051681317425,0.0,second_stage
195.67720270270297,-2325.216829682761,5658.55264555202,2179.475644085562,-1757.4595096306643,600.617232587641,426.3513987604221,123.30253612240497,1605.9803149220957,1905.5656649135606,42.83798299395514,48.15908405281927,464.9122696153695,0.0,second_stage
200.67720270270297,-2334.0743093940214,5661.4844482706985,2181.5932764520844,-1781.0008936110632,576.7486199253601,421.629487398724,129.74290090333392,1613.2082344048322,1918.9514267623672,41.968626747558964,46.57323830614911,458.61402241756474,0.0,second_stage
205.67720270270297,-2343.052812432744,5664.294431706054,2183.6869734866295,-1805.647888925498,552.0475019338204,416.7968509348358,136.12046062468366,1621.635423861214,1933.608119066962,41.07946469866395,44.97066965028368,452.31577521976004,0.0,second_stage
210.67720270270297,-2352.1578682555123,5666.9782719567875,2185.7561328563343,-1831.4007422683642,526.4598861006717,411.8371676325221,142.43375220365078,1631.3032833809564,1949.563680185345,40.1710945716218,43.35163584219121,446.0175280219553,0.0,second_stage
215.67720270270297,-2361.3950025129084,5669.5313706202805,2187.800068670099,-1858.2580094322036,499.9302649234888,406.7334639986171,148.68108582109306,1642.2543264892115,1966.8465141290817,39.24416360627515,41.7163843084544,439.71928082415053,0.0,second_stage
220.67720270270297,-2370.769728342173,5671.948847171221,2189.8180081764394,-1886.21647059384,472.40160045507946,401.4681002663898,154.86053625760414,1654.5320400171056,1985.4854523726704,38.29936364640365,40.06515280169295,433.4210336263458,0.0,second_stage
225.67720270270297,-2380.2875372263425,5674.225531263352,2191.809088387271,-1915.2710422663192,443.81530897129215,396.0227553745101,160.96993405917007,1668.1807341896701,2005.5097149093085,37.337425804329214,38.398170000603464,427.1227864285411,0.0,second_stage
230.67720270270297,-2389.9538894028183,5676.355954954676,2193.772352624898,-1945.4146857928686,414.11124566489633,390.37841137211785,167.00685652458296,1683.2453856392535,2026.9488714691638,36.359114766057736,36.71565605966195,420.8245392307363,0.0,second_stage
235.67720270270297,-2399.774203803672,5678.334344855922,2195.706746989097,-1976.6383122397917,383.22768925179133,384.51533717054946,172.96861850554123,1699.7714763533904,2049.832803850797,35.365222807482844,35.017823113762006,414.52629203293156,0.0,second_stage
240.67720270270297,-2409.753847509182,5680.154614201423,2197.6111167407694,-2008.9306835237178,351.1013263559729,378.4130715511281,178.85226300881058,1717.8048317955959,2074.1916703363636,34.35656359671747,33.304875742404725,408.22804483512687,0.0,second_stage
245.67720270270297,-2419.898124695228,5681.810354840885,2199.4842025981347,-2042.2783095845898,317.6672355170469,372.0504053258999,184.6545515882196,1737.391461583576,2100.055873167164,33.33396586039675,31.577011397493237,401.9297976373221,0.0,second_stage
250.67720270270297,-2430.2122650541305,5683.294829149555,2201.3246369408853,-2076.665341388651,282.858870638257,365.40536253410886,190.37195451229718,1758.577406163525,2127.4560300491,32.29826699271435,29.83442079830045,395.63155043951735,0.0,second_stage
255.67720270270297,-2440.7014116673627,5684.600961853433,2203.1309399170855,-2112.0734595150075,246.60804366356024,358.45518054133305,196.00064069130178,1781.4085928777745,2156.422950639364,31.25030668498814,28.07728829676219,389.3333032417126,0.0,second_stage
260.67720270270297,-2451.370608307223,5685.721331764916,2204.9015154468916,-2148.4817580444414,208.84490623875092,351.1762888902895,201.5364673449425,1805.9307046873305,2186.987618938517,30.19092065073673,26.305792215886143,383.0350560439079,0.0,second_stage
265.67720270270297,-2462.224786143026,5686.648163422976,2206.6346471163315,-2185.866623429377,169.49793007341825,343.5442867320642,206.9749693893781,1832.1890645873282,2219.18118247879,29.120934516693193,24.520105163754607,376.73680884610314,0.0,second_stage
270.67720270270297,-2473.268749825653,5687.3733186304125,2208.328493953489,-2224.20160797838,128.49388567695732,335.533918643582,212.31134851908217,1860.2285384536474,2253.034949163082,28.041157944051925,22.720394325326126,370.4385616482984,0.0,second_stage
275.67720270270297,-2484.507162922283,5687.888287878926,2209.9810860783664,-2263.457297536427,85.75781909214982,327.11904861109986,217.5404619556302,1890.0934586988374,2288.5803925732166,26.952379036755158,20.90682173400299,364.1403144504937,0.0,second_stage
280.67720270270297,-2495.9445326708874,5688.184181650758,2211.590320216512,-2303.6011728822377,41.213026193069666,318.27263192990216,222.65681083167718,1921.8275707142727,2325.849166534236,25.855359085033758,19.079544524724213,357.84206725268893,0.0,second_stage
285.67720270270297,-2507.5851940214457,5688.251721583212,2213.153955065177,-2344.5974642949805,-5.218975950830266,308.96668473663806,227.6545281739505,1955.47400365476,2364.8731296975693,24.750827683005944,17.238715170159466,351.5438200548842,0.0,second_stage
290.67720270270297,-2519.433292927898,5688.0812314797395,2214.6696064991925,-2386.4069986630966,-53.6184812169052,299.1722508522119,232.52736644415464,1991.075266703965,2405.6843808937606,23.63947824919902,15.384481701420455,345.2455728570794,0.0,second_stage
295.67720270270297,-2531.4927688514117,5687.662628148097,2216.1347426020575,-2428.987038416001,-104.06763073545943,288.85936556902556,237.26868459110054,2028.673271566007,2448.3153060087598,22.5219639686883,13.51698791456272,338.9473256592747,0.0,second_stage
300.67720270270297,-2543.7673364316547,5686.985412042524,2217.5466785057156,-2472.2911114529443,-156.6504541154449,277.9970159657547,241.87143456099648,2068.309381580858,2492.7986371605857,21.39889416541581,11.63637356402657,332.64907846146997,0.0,second_stage
305.67720270270297,-2556.26047916282,5686.038710456286,2218.9025900339375,-2516.281715676871,-211.4001430025205,266.57211093696924,246.32820390498918,2110.0244875765393,2539.1778951937604,20.27210847176531,10.0,326.3508312636652,0.0,second_stage
310.67720270270297,-2568.976352022809,5684.814874791718,2220.2008135410983,-2561.254144257718,-267.0595572070348,255.0389961475379,250.63509341568405,2154.1376569522595,2587.738102692948,19.17417631692267,10.0,320.0525840658605,0.0,second_stage
315.67720270270297,-2581.920532321849,5683.311643638961,2221.441656678508,-2607.3808589066466,-323.08801473088573,243.60124858902392,254.7941341377245,2200.886393893818,2638.590983265432,18.118980274627354,10.0,313.75433686805576,0.0,second_stage
320.67720270270297,-2595.09892622908,5681.5271050599895,2222.6256032273345,-2654.7071443059713,-379.50792534369344,232.26120952538867,258.80793496827783,2250.2484697397917,2691.7357888318156,17.1064494012182,10.0,307.456089670251,0.0,second_stage
325.67720270270297,-2608.5176749513716,5679.459231137209,2223.753149282269,-2703.281187431793,-436.34302407268154,221.02142464181284,262.6791969182659,2302.205372583267,2747.175801278512,16.136364390718057,10.0,301.15784247244625,0.0,second_stage
330.67720270270297,-2622.183169965551,5677.105870996209,2224.8248043208405,-2753.1543210954806,-493.6184898087034,209.88465999846505,266.41071934466623,2356.7430966062575,2804.9188044844386,15.208377211864962,10.0,294.85959527464155,0.0,second_stage
335.67720270270297,-2636.102069545758,5674.464743197252,2225.841092357598,-2804.381293718582,-551.3610768788167,198.85391970933236,270.00540665942805,2413.8528697191655,2864.977549482621,14.322029880241312,10.0,288.5613480768368,0.0,second_stage
340.67720270270297,-2650.2813167272598,5671.533427425519,2226.8025531924336,-2857.0205687982993,-609.5992613228974,187.93246557080457,273.4662755636731,2473.531828760123,2927.3702194217767,13.476772147662853,10.0,282.26310087903204,0.0,second_stage
345.67720270270297,-2664.7281588669457,5668.309355400699,2227.7097437635707,-2911.134658064706,-668.3634038877484,177.12383889998392,276.796462862012,2535.7836537082585,2992.1209018601835,12.671977962100353,10.0,275.9648536812273,0.0,second_stage
350.67720270270297,-2679.4501689826197,5664.789800915429,2228.563239617144,-2966.7904929751717,-727.685932079279,166.43188488445608,279.99923391886335,2600.6191740041527,3059.260076760416,11.906960612456942,10.0,269.6666064834226,0.0,second_stage
355.67720270270297,-2694.455269078673,5660.971868899294,2229.363636506969,-3024.0598399570545,-787.6015440024947,155.86077979487806,283.0779918268593,2668.0569612948952,3128.825129411113,11.180986523335827,10.0,263.3683592856178,0.0,second_stage
360.67720270270297,-2709.7517556954563,5656.852483390071,2230.111552140016,-3083.0197657231242,-848.1474371837903,145.41506147092227,286.03628736687733,2738.1239238814996,3200.8608984370894,10.493287705910333,10.0,257.07011208781296,0.0,second_stage
365.67720270270297,-2725.348327954489,5652.428374276272,2230.8076280853647,-3143.7531600781926,-909.3635661272928,135.09966356198936,288.87782985031043,2810.8559189921266,3275.420270132664,9.843072902950295,10.0,250.77186489000806,0.0,second_stage
370.67720270270297,-2741.2541184125907,5647.696062654361,2231.4525318670894,-3206.349324951294,-971.292933027945,124.91995408933084,291.6064989470607,2886.298399879079,3352.5648316319443,9.229537489996256,10.0,244.47361769220316,0.0,second_stage
375.67720270270297,-2757.4787270863303,5642.651844619507,2232.0469592646305,-3270.904639977476,-1033.9819168754245,114.88177899917183,294.2263576178765,2964.5071157788384,3432.3655969895713,8.651872211745372,10.0,238.1753704943983,0.0,second_stage
380.67720270270297,-2774.0322590654623,5637.2917732797,2232.591636847944,-3337.5233168825707,-1097.48064716875,104.99151150134635,296.7416662874846,3045.5488841178408,3514.903822173818,8.109270844075619,10.0,231.8771232965934,0.0,second_stage
385.67720270270297,-2790.925366202133,5631.611638748432,2233.087324779129,-3406.3182572772425,-1161.8434296648259,95.25610814028715,299.1568984159976,3129.502456131233,3600.271927376268,7.600936878895206,10.0,225.57887609878853,0.0,second_stage
387.67720270270297,-2795.213424231857,5630.138247887803,2233.2041813709,-3423.9282976695285,-1178.1240487148118,92.84136786943473,299.74776116048264,3163.919264776903,3622.1375983430285,7.478764561613585,10.0,224.00000000000745,0.0,second_stage
390.93062770270245,-2808.9677609214077,5625.320710207176,2233.5513148848295,-3447.410691407807,-1220.1588282161663,83.15224278058525,301.57704719888045,3194.645639981253,3657.915025911092,7.073447906917514,10.0,177.36845405924274,0.0,third_stage_proxy
395.93062770270245,-2826.293829942026,5619.06175437993,2233.9308472681864,-3477.138609994801,-1272.9108293044007,71.08209296662132,303.74635046755805,3239.329859745466,3703.4912658756884,6.582296658406701,10.0,175.32902163328686,0.0,third_stage_proxy
400.93062770270245,-2843.7698101287137,5612.538320575527,2234.2501670730508,-3507.2916229029092,-1325.9034452094884,59.05803882768998,305.7871721355785,3285.0263476114615,3750.0136434489787,6.108174984909543,10.0,173.28958920733095,0.0,third_stage_proxy
405.93062770270245,-2861.397855172907,5605.749176354675,2234.5095056957034,-3537.8791851569677,-1379.1465034648631,47.08039176461004,307.7015388347525,3331.7279494191375,3797.4795285919577,5.650875799673557,10.0,171.25015678137507,0.0,third_stage_proxy
410.93062770270245,-2879.1801671492362,5598.6930392422455,2234.7090962132097,-3568.911123434478,-1432.6501331650861,35.1495046295199,309.4915183886839,3379.4286218898183,3845.8872186672334,5.2101858477896,10.0,169.21072435541916,0.0,third_stage_proxy
415.93062770270245,-2897.11899842658,5591.368575169538,2234.8491735950656,-3600.39765380153,-1486.42478174128,23.265773199550488,311.15922162561213,3428.123455693932,3895.235961206554,4.785887014195902,10.0,167.17129192946328,0.0,third_stage_proxy
420.93062770270245,-2915.216653671033,5583.774396829607,2234.929974922488,-3632.3494005387242,-1540.4812327665622,11.42963774669506,312.70680426197407,3477.8086971431035,3945.5259766879035,4.377757531593613,10.0,165.13185950350737,0.0,third_stage_proxy
425.93062770270245,-2933.475491946477,5575.909061940272,2234.951739615865,-3664.777416136806,-1594.8306248710755,-0.35841528982314896,314.13646886062156,3528.4817689879824,3996.758481609134,3.9855730918718937,10.0,163.0924270775515,0.0,third_stage_proxy
430.93062770270245,-2951.8979289188733,5567.771071408991,2234.914709670892,-3697.693202548612,-1649.4844718532504,-12.097851521838905,315.450466867879,3580.1412907855124,4048.935712143458,3.609107865090377,10.0,161.05299465159558,0.0,third_stage_proxy
435.93062770270245,-2970.486439170818,5559.358867393348,2234.8191299039645,-3731.108733791603,-1704.454684081714,-23.788086713742278,316.6511007339107,3632.787099282379,4102.060948661487,3.2481354303971637,10.0,159.0135622256397,0.0,third_stage_proxy
